group,n_configs,avg_net,median_net,avg_pf,median_pf,avg_evR,pct_profitable
two_confirm,756,-12191.554819904308,-6170.18994140625,0.9647758253262991,0.9609323850435173,-0.030488527199900146,37.83068783068783
one_break,756,-18458.84033832853,-8487.6025390625,0.9511503879877182,0.961190773505096,-0.04419124039914287,25.132275132275133
