key,ma_type,entry_ma_value,entry_mode,stop_type,exit_type,rr_value,exit_ma_value,trades,resolved,wins,losses,unresolved,wr,gross_profit_pts,gross_loss_pts,gross_profit_dol,gross_loss_dol,commission_total,slippage_total,net_profit,pf_dol,expectancy_dol,expectancy_R,avg_win_pts,avg_loss_pts,avg_win_dol,avg_loss_dol,max_dd_dol,max_dd_pct,mls,final_balance,avg_hold,med_hold,sharpe,sortino,long_trades,long_wr,long_pf,long_net,long_ev,short_trades,short_wr,short_pf,short_net,short_ev
SMA  9_one_break_fixed_8_RR6,SMA,9,one_break,fixed_8,fixed_RR,6,,62126,62125,9730,52395,1,15.661971830985916,467040.0,419160.0,566772.5,615641.25,62125.0,46593.75,-48868.75,0.920621384613198,-0.7866197183098591,-0.07866197183098592,48.0,-8.0,58.25,-11.75,50298.0,2190.20263671875,50,-47868.75,3.5127082494969817,2.0,-7.7066397663784105,0.0,30998,15.907477901800116,0.9377822615861418,-19056.5,-0.6147654687399187,31127,15.417483213930028,0.9036306302811665,-29812.25,-0.95776175024898
SMA  9_one_break_fixed_8_MAexit9,SMA,9,one_break,fixed_8,ma_close,,9,68184,68183,12992,55191,1,19.054603053547073,471464.0,393152.0,566594.0,588024.25,68183.0,51137.25,-21430.25,0.9635554996243777,-0.3143048853819867,-0.03143048853819867,36.28879165649414,-7.123480319976807,43.61099137931034,-10.654350346976862,25653.25,858.631591796875,51,-20430.25,3.6807415338134137,2.0,-2.8533782631032847,-26.275573544394522,34095,19.486728259275555,1.0004916895908031,143.75,0.004216160727379381,34088,18.622389110537434,0.9270322831583042,-21574.0,-0.6328913400610185
SMA  9_one_break_fixed_10_RR2,SMA,9,one_break,fixed_10,fixed_RR,2,,64657,64657,22858,41799,0,35.35270736347186,457160.0,417990.0,425158.84375,476508.625,51725.609375,38794.203125,-51349.83203125,0.8922374568770922,-0.7941882863611055,-0.07941882863611055,20.0,-10.0,18.600001913990724,-11.400000598100434,51610.0859375,4314.5029296875,22,-50335.20703125,2.2811141871723093,3.0,-14.08067530046449,0.0,32323,35.643349936577664,0.9036353953139653,-22852.21875,-0.7069955991089936,32334,35.062163666728516,0.8809454305426344,-28497.6171875,-0.8813514315426486
SMA  9_one_break_fixed_10_RR3,SMA,9,one_break,fixed_10,fixed_RR,3,,61444,61443,16439,45004,1,26.754878505281315,493170.0,450040.0,470155.5,513045.625,49154.40625,36865.80078125,-42890.234375,0.9164009536188911,-0.6980491573490878,-0.06980491573490878,30.0,-10.0,28.600006083095078,-11.400000555506177,43242.23046875,3311.550048828125,27,-41890.8515625,2.997819116905099,3.0,-9.771728434882242,0.0,30705,27.054225696140694,0.9304567330139762,-17757.015625,-0.5783102304184986,30738,26.455852690480835,0.9024744414987433,-25133.21484375,-0.8176594067196955
SMA  9_one_break_fixed_10_RR4,SMA,9,one_break,fixed_10,fixed_RR,4,,58359,58358,12526,45832,1,21.46406662325645,501040.0,458320.0,483503.65625,522484.8125,46686.40625,35014.796875,-38981.203125,0.9253927476600098,-0.6679667419205593,-0.06679667419205593,40.0,-10.0,38.60000449065943,-11.400000272735207,39782.23046875,2484.213623046875,38,-37988.46875,3.7160457863531993,3.0,-7.860402631323902,0.0,29180,21.737491432488003,0.9404552644612167,-15502.001953125,-0.5312543506896847,29178,21.190623072177665,0.9104337255810759,-23479.203125,-0.8046885710124067
SMA  9_one_break_fixed_10_RR5,SMA,9,one_break,fixed_10,fixed_RR,5,,55181,55180,9886,45294,1,17.915911562160204,494300.0,452940.0,480459.625,516351.59375,44144.0078125,33107.99609375,-35892.00390625,0.9304892844634509,-0.6504531334949257,-0.06504531334949257,50.0,-10.0,48.60000252882865,-11.39999986201263,37264.5859375,1832.2681884765625,50,-34900.8828125,4.6268575570859,3.0,-6.640589931879905,-160216331.2614586,27560,18.254716981132074,0.9520150682964698,-12324.001953125,-0.44716988218886067,27620,17.57784214337437,0.9091865452851994,-23568.001953125,-0.8532947846895366
SMA  9_one_break_fixed_10_RR6,SMA,9,one_break,fixed_10,fixed_RR,6,,52097,52095,8126,43969,2,15.59842595258662,487560.0,439690.0,476183.53125,501246.65625,41676.00390625,31256.998046875,-25063.0,0.949998419565517,-0.48110183318936556,-0.04811018331893656,60.0,-10.0,58.59999153950283,-11.400001279310423,26085.271484375,1372.7646484375,50,-24073.26953125,5.365543718207122,3.0,-4.323359216385936,-115142313.95975696,25960,15.870570107858242,0.9696996435274329,-7544.0,-0.2906009244992296,26135,15.328104074995217,0.9305544888549747,-17519.0,-0.670327147503348
SMA  9_one_break_fixed_10_MAexit9,SMA,9,one_break,fixed_10,ma_close,,9,67676,67675,14418,53257,1,21.304765422977464,522608.0,437688.0,502422.8125,512247.84375,54140.0078125,40605.0,-9825.0341796875,0.9808197704102097,-0.14517967018378278,-0.014517967018378278,36.24691390991211,-8.218412399291992,34.84691444721875,-9.618413424526354,18316.623046875,645.0797119140625,32,-8829.26171875,4.02365718507573,2.0,-1.5435405767546806,-11.641150223757949,33834,21.77986640657327,1.0184549144006907,4700.38427734375,0.1389248766726887,33841,20.829762713867794,0.9436021651140625,-14525.416015625,-0.4292253779623829
SMA  9_one_break_candle_RR2,SMA,9,one_break,candle,fixed_RR,2,,52563,52562,18414,34148,1,35.032913511662414,565606.0,531674.0,349124.53125,376387.78125,30893.294921875,23169.96875,-27263.26953125,0.927566059903811,-0.5186878264002511,-0.05186878264002511,30.71608543395996,-15.569696426391602,18.959733422939067,-11.02224965590957,27411.4765625,2405.445068359375,16,-26263.3203125,4.4620828735588445,3.0,-8.310571751865046,-303.12444017500997,26272,35.368453105968335,0.9410226991747864,-11039.072265625,-0.420183932156859,26290,34.69760365157855,0.9142541903468796,-16224.197265625,-0.6171242778860784
SMA  9_one_break_candle_RR3,SMA,9,one_break,candle,fixed_RR,3,,46750,46748,12464,34284,2,26.66210319158039,566577.0,527523.0,360745.3125,378356.15625,27823.337890625,20867.50390625,-17610.84765625,0.953454322180069,-0.37671873997283306,-0.037671873997283306,45.45707702636719,-15.386857032775879,28.94298078465982,-11.03593968760938,17886.744140625,1414.2376708984375,25,-16612.12890625,6.325211773765723,4.0,-4.606232071380726,-205.861049173117,23354,26.950415346407468,0.967344069763003,-6148.47900390625,-0.2632730583157596,23394,26.374284004445585,0.9396957826209834,-11462.3681640625,-0.48997042677876806
SMA  9_one_break_candle_RR4,SMA,9,one_break,candle,fixed_RR,4,,41622,41620,8921,32699,2,21.434406535319557,535568.0,498315.0,347304.53125,361232.0625,25015.71875,18761.7890625,-13927.5146484375,0.9614443658361583,-0.3346351429225733,-0.03346351429225733,60.03452682495117,-15.239457130432129,38.931121090684904,-11.047189898773663,14016.9287109375,1287.9970703125,27,-12928.6552734375,8.169870254685247,4.0,-3.328021484116854,-171.38608728580238,20809,21.83189965880148,0.983836293819695,-2905.52490234375,-0.13962828114487721,20811,21.036951612128203,0.9392647114788375,-11021.98828125,-0.5296231935635001
SMA  9_one_break_candle_RR5,SMA,9,one_break,candle,fixed_RR,5,,37541,37539,6789,30750,2,18.085191400943017,505495.0,465619.0,332130.8125,339930.09375,22713.87890625,17035.41015625,-7799.2939453125,0.9770562201070202,-0.20776509617497801,-0.0207765096174978,74.45794677734375,-15.142081260681152,48.92190491972308,-11.054637195121952,10880.455078125,425.87481689453125,26,-6799.62548828125,9.956285463118357,4.0,-1.7435076108923346,-100.61911116901325,18738,18.534528765076317,1.0064676158254342,1091.77587890625,0.05826533669048191,18801,17.637359714908783,0.9480427697447391,-8891.0703125,-0.472904117467156
SMA  9_one_break_candle_RR6,SMA,9,one_break,candle,fixed_RR,6,,33961,33959,5320,28639,2,15.665950116316735,470178.0,432354.0,313404.75,316715.3125,20640.3046875,15480.228515625,-3310.539306640625,0.9895471978482253,-0.09748636021792824,-0.009748636021792824,88.37932586669922,-15.096686363220215,58.91066729323308,-11.05888168232131,8494.5400390625,276.9077453613281,34,-2310.51123046875,11.822020671986808,4.0,-0.7062812178439969,-44.691162082253335,17003,16.197141680879845,1.0291226048839592,4590.8642578125,0.2700031910728989,16956,15.133286152394431,0.9503296167063946,-7901.4033203125,-0.4659945341066584
