trade_id,strategy_key,direction,entry_time,entry_price,outcome,hold_bars,net_pnl_dol,equity_after_trade,drawdown_pct_after_trade
1,EMA 55_two_confirm_candle_MAexit55,short,1970-01-01T00:00:01.672668003,11040.0,win,35,48.15385055541992,1048.15385055542,0.0
2,EMA 55_two_confirm_candle_MAexit55,short,1970-01-01T00:00:01.672695552,10952.0,loss,1,-11.40000057220459,1036.7538499832153,1.0876266462374484
3,EMA 55_two_confirm_candle_MAexit55,long,1970-01-01T00:00:01.672698801,10976.0,win,34,32.166664123535156,1068.9205141067505,0.0
4,EMA 55_two_confirm_candle_MAexit55,short,1970-01-01T00:00:01.672713831,11008.0,loss,10,-11.75,1057.1705141067505,1.099239826061244
5,EMA 55_two_confirm_candle_MAexit55,long,1970-01-01T00:00:01.672718411,11024.0,loss,3,-11.40000057220459,1045.770513534546,2.1657363916857766
6,EMA 55_two_confirm_candle_MAexit55,short,1970-01-01T00:00:01.672718877,11000.0,loss,4,-11.75,1034.020513534546,3.2649762177470203
7,EMA 55_two_confirm_candle_MAexit55,long,1970-01-01T00:00:01.672719621,11024.0,loss,1,-11.272727966308594,1022.7477855682373,4.31956613510198
8,EMA 55_two_confirm_candle_MAexit55,long,1970-01-01T00:00:01.672720806,11032.0,loss,7,-11.076924324035645,1011.6708612442017,5.355838166357002
9,EMA 55_two_confirm_candle_MAexit55,short,1970-01-01T00:00:01.672723865,11000.0,loss,3,-11.272727966308594,1000.3981332778931,6.410428083711962
10,EMA 55_two_confirm_candle_MAexit55,long,1970-01-01T00:00:01.672723931,11024.0,loss,1,-11.076924324035645,989.3212089538574,7.446700114966983
11,EMA 55_two_confirm_candle_MAexit55,long,1970-01-01T00:00:01.672724259,11040.0,loss,14,-7.833333492279053,981.4878754615784,8.179526680544221
12,EMA 55_two_confirm_candle_MAexit55,short,1970-01-01T00:00:01.672724716,11024.0,loss,1,-9.1578950881958,972.3299803733826,9.03626906384937
13,EMA 55_two_confirm_candle_MAexit55,short,1970-01-01T00:00:01.672724867,11016.0,win,105,211.7777862548828,1184.1077666282654,0.0
14,EMA 55_two_confirm_candle_MAexit55,long,1970-01-01T00:00:01.672739595,10832.0,loss,3,-11.272727966308594,1172.8350386619568,0.9520018603042838
15,EMA 55_two_confirm_candle_MAexit55,short,1970-01-01T00:00:01.672741453,10808.0,loss,5,-9.1578950881958,1163.677143573761,1.7254023350155352
16,EMA 55_two_confirm_candle_MAexit55,long,1970-01-01T00:00:01.672742601,10832.0,win,33,13.272727012634277,1176.9498705863953,0.6044970097824923
17,EMA 55_two_confirm_candle_MAexit55,short,1970-01-01T00:00:01.672747269,10840.0,loss,1,-7.565217018127441,1169.3846535682678,1.2433929980817093
18,EMA 55_two_confirm_candle_MAexit55,long,1970-01-01T00:00:01.672754558,10864.0,win,31,25.5,1194.8846535682678,0.0
19,EMA 55_two_confirm_candle_MAexit55,long,1970-01-01T00:00:01.672797248,10920.0,loss,7,-11.166666984558105,1183.7179865837097,0.9345393257174438
20,EMA 55_two_confirm_candle_MAexit55,long,1970-01-01T00:00:01.672804802,10920.0,loss,16,-6.266666889190674,1177.451319694519,1.4589972196636598
