trade_id,strategy_key,direction,entry_time,entry_price,outcome,hold_bars,net_pnl_dol,equity_after_trade,drawdown_pct_after_trade
1,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672724916,10992.0,loss,4,-12.333333015441895,987.6666669845581,1.2333333015441894
2,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672742838,10856.0,loss,1,-12.333333015441895,975.3333339691162,2.466666603088379
3,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672743388,10848.0,loss,1,-12.333333015441895,963.0000009536743,3.6999999046325684
4,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672743756,10848.0,loss,1,-12.333333015441895,950.6666679382324,4.933333206176758
5,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672744294,10872.0,loss,4,-12.333333015441895,938.3333349227905,6.166666507720947
6,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672754558,10864.0,win,60,64.33332824707031,1002.6666631698608,0.0
7,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672811081,10880.0,loss,1,-12.333333015441895,990.333330154419,1.230053164074581
8,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672811203,10904.0,loss,1,-12.333333015441895,977.999997138977,2.460106328149162
9,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672811768,10880.0,loss,1,-12.333333015441895,965.6666641235352,3.6901594922237426
10,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672812130,10912.0,loss,4,-12.333333015441895,953.3333311080933,4.920212656298324
11,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672812190,10888.0,win,47,51.0,1004.3333311080933,0.0
12,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672816239,10896.0,loss,1,-12.333333015441895,991.9999980926514,1.2280119192932069
13,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672826559,10872.0,loss,2,-12.333333015441895,979.6666650772095,2.4560238385864137
14,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672826651,10896.0,win,8,11.0,990.6666650772095,1.3607699363920531
15,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672826981,10872.0,loss,1,-12.333333015441895,978.3333320617676,2.58878185568526
16,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672827086,10896.0,loss,1,-12.333333015441895,965.9999990463257,3.8167937749784673
17,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672827213,10904.0,win,1,11.0,976.9999990463257,2.7215398727841063
18,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672827920,10872.0,loss,16,-12.333333015441895,964.6666660308838,3.949551792077313
19,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672829765,10904.0,loss,1,-12.333333015441895,952.3333330154419,5.17756371137052
20,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672831268,10888.0,loss,2,-12.333333015441895,940.0,6.405575630663726
21,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672833526,10912.0,loss,1,-12.333333015441895,927.6666669845581,7.633587549956935
22,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672848003,10888.0,loss,7,-2.3333334922790527,925.333333492279,7.865914151096883
23,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672860847,10904.0,loss,1,-12.333333015441895,913.0000004768372,9.093926070390088
24,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672869173,10880.0,loss,3,-2.3333334922790527,910.6666669845581,9.326252671530037
25,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672877910,10896.0,loss,1,-12.333333015441895,898.3333339691162,10.554264590823244
26,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672880347,10904.0,loss,2,-12.333333015441895,886.0000009536743,11.78227651011645
27,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672892107,10880.0,loss,2,-12.333333015441895,873.6666679382324,13.010288429409659
28,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672892111,10896.0,loss,1,-12.333333015441895,861.3333349227905,14.238300348702865
29,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672892138,10872.0,loss,1,-12.333333015441895,849.0000019073486,15.466312267996072
30,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672893003,10864.0,win,61,51.0,900.0000019073486,10.388316903276763
31,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672910527,10808.0,loss,2,-12.333333015441895,887.6666688919067,11.61632882256997
32,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672912869,10792.0,loss,1,-12.333333015441895,875.3333358764648,12.844340741863178
33,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672914990,10808.0,loss,6,-12.333333015441895,863.000002861023,14.072352661156383
34,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672916987,10776.0,loss,1,-12.333333015441895,850.666669845581,15.30036458044959
35,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672936968,10800.0,loss,2,-12.333333015441895,838.3333368301392,16.528376499742798
36,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672950317,10776.0,loss,1,-12.333333015441895,826.0000038146973,17.756388419036004
37,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672979411,10784.0,loss,26,-12.333333015441895,813.6666707992554,18.98440033832921
38,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672979438,10768.0,loss,1,-12.333333015441895,801.3333377838135,20.212412257622418
39,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672979444,10792.0,loss,12,-12.333333015441895,789.0000047683716,21.440424176915624
40,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672979511,10768.0,loss,4,-12.333333015441895,776.6666717529297,22.668436096208833
41,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672979566,10792.0,loss,1,-12.333333015441895,764.3333387374878,23.89644801550204
42,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672979592,10768.0,loss,6,-12.333333015441895,752.0000057220459,25.124459934795247
43,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672979772,10760.0,loss,4,-12.333333015441895,739.666672706604,26.35247185408845
44,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672979884,10784.0,loss,1,-12.333333015441895,727.3333396911621,27.58048377338166
45,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672979945,10760.0,loss,1,-12.333333015441895,715.0000066757202,28.808495692674867
46,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672980060,10784.0,loss,1,-12.333333015441895,702.6666736602783,30.036507611968073
47,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672980155,10792.0,loss,1,-12.333333015441895,690.3333406448364,31.264519531261282
48,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672983047,10784.0,loss,1,-12.333333015441895,678.0000076293945,32.49253145055449
49,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672983099,10808.0,loss,13,-2.3333334922790527,675.6666741371155,32.72485805169443
50,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672983437,10792.0,loss,36,-12.333333015441895,663.3333411216736,33.95286997098764
51,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672984808,10776.0,loss,1,-12.333333015441895,651.0000081062317,35.180881890280844
52,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672984936,10808.0,loss,2,-12.333333015441895,638.6666750907898,36.40889380957405
53,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.672985010,10784.0,loss,2,-12.333333015441895,626.3333420753479,37.63690572886726
54,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.672985261,10808.0,win,234,677.6666870117188,1304.0000290870667,0.0
55,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.673261778,11168.0,win,87,131.0,1435.0000290870667,0.0
56,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.673328828,11136.0,loss,10,-12.333333015441895,1422.6666960716248,0.8594656979406643
57,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.673329384,11128.0,loss,1,-12.333333015441895,1410.3333630561829,1.7189313958813286
58,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.673329565,11096.0,loss,5,-2.3333334922790527,1408.0000295639038,1.881533029678054
59,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.673329756,11112.0,loss,1,-12.333333015441895,1395.666696548462,2.7409987276187184
60,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.673329865,11088.0,loss,2,-12.333333015441895,1383.33336353302,3.6004644255593825
61,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.673329980,11104.0,win,35,24.333332061767578,1407.6666955947876,1.9047618772292472
62,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.673332269,11096.0,loss,1,-12.333333015441895,1395.3333625793457,2.7642275751699112
63,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.673333496,11112.0,loss,2,-12.333333015441895,1383.0000295639038,3.6236932731105758
64,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.673336009,11104.0,loss,1,-12.333333015441895,1370.666696548462,4.483158971051241
65,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.673337378,11128.0,loss,1,-12.333333015441895,1358.33336353302,5.342624668991905
66,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.673337606,11104.0,loss,4,-12.333333015441895,1346.0000305175781,6.20209036693257
67,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.673338269,11128.0,loss,2,-12.333333015441895,1333.6666975021362,7.061556064873234
68,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.673339529,11136.0,win,114,171.0,1504.6666975021362,0.0
69,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.673497819,11304.0,loss,18,-12.333333015441895,1492.3333644866943,0.8196720932227839
70,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.673497872,11336.0,loss,8,-12.333333015441895,1480.0000314712524,1.6393441864455678
71,SMA144_two_confirm_fixed_6_MAexit84,short,1970-01-01T00:00:01.673497909,11320.0,loss,4,-12.333333015441895,1467.6666984558105,2.4590162796683517
72,SMA144_two_confirm_fixed_6_MAexit84,long,1970-01-01T00:00:01.673498031,11344.0,loss,36,-12.333333015441895,1455.3333654403687,3.2786883728911356
