key,ma_type,entry_ma_value,entry_mode,stop_type,exit_type,rr_value,exit_ma_value,trades,resolved,wins,losses,unresolved,wr,gross_profit_pts,gross_loss_pts,gross_profit_dol,gross_loss_dol,commission_total,slippage_total,net_profit,pf_dol,expectancy_dol,expectancy_R,avg_win_pts,avg_loss_pts,avg_win_dol,avg_loss_dol,max_dd_dol,max_dd_pct,mls,final_balance,avg_hold,med_hold,sharpe,sortino,long_trades,long_wr,long_pf,long_net,long_ev,short_trades,short_wr,short_pf,short_net,short_ev
SMA144_two_confirm_fixed_6_MAexit144,SMA,144,two_confirm,fixed_6,ma_close,,144,10921,10921,771,10150,0,7.059793059243659,87432.0,60018.0,143920.984375,123713.34375,14561.33203125,10921.0,20207.66015625,1.1633424496700664,1.8503488834584745,0.18503488834584744,113.4007797241211,-5.9131035804748535,186.66794341763944,-12.188506773399014,4204.330078125,118.63216400146484,80,21207.658203125,12.335866678875561,1.0,2.502848722541384,161.85535605682037,5490,7.413479052823316,1.2648467271716042,16409.99609375,2.989070326730419,5431,6.702264776284293,1.0614975777051332,3797.66259765625,0.6992566005627416
HMA200_one_break_candle_MAexit200,HMA,200,one_break,candle,ma_close,,200,24292,24291,4071,20220,1,16.759293565518092,274232.0,221305.0,187949.046875,170600.84375,14058.580078125,10543.935546875,17348.1875,1.101688847157299,0.7141816928080359,0.07141816928080359,67.36231994628906,-10.944856643676758,46.167783560550234,-8.437232628585559,2779.037353515625,95.82434844970703,41,18347.958984375,11.117327405211807,3.0,3.600039052880263,33.38261969500258,12146,17.026181458916515,1.1687312219686223,14210.1787109375,1.1699472016250205,12145,16.492383696994647,1.0363266759072467,3138.00634765625,0.2583784559618156
EMA 84_two_confirm_fixed_6_MAexit84,EMA,84,two_confirm,fixed_6,ma_close,,84,16433,16432,1453,14979,1,8.842502434274586,120744.0,87690.0,197849.671875,181101.0,21909.333984375,16432.0,16748.66796875,1.0924824925041827,1.0192714197145814,0.10192714197145814,83.09979248046875,-5.854196071624756,136.16632613558156,-12.090326457039856,6803.6904296875,383.4505310058594,83,17748.28515625,8.943281402142162,1.0,1.9863636498124684,84.85312084366099,8246,9.022556390977442,1.1505902363696399,13642.666015625,1.6544586485113995,8186,8.661128756413389,1.0343180423330205,3105.9990234375,0.3794281729095407
SMA 84_two_confirm_fixed_6_MAexit84,SMA,84,two_confirm,fixed_6,ma_close,,84,14393,14393,1173,13220,0,8.149795039255194,108000.0,77964.0,177263.0,160786.671875,19190.666015625,14393.0,16476.328125,1.1024732207767143,1.1447459268394358,0.11447459268394358,92.07160949707031,-5.897428035736084,151.11935208866154,-12.162380625945538,6297.57080078125,197.3955841064453,90,17476.955078125,9.328701452094768,1.0,2.0260238529149572,105.94746759944412,7155,8.930817610062892,1.2279135405093178,18051.6640625,2.522943964011181,7238,7.3777286543243985,0.9806902162702673,-1575.3359375,-0.21764796041724233
EMA200_two_confirm_candle_MAexit200,EMA,200,two_confirm,candle,ma_close,,200,10470,10469,1220,9249,1,11.653453051867418,129448.0,100741.0,113052.6875,96614.390625,7579.009765625,5684.25732421875,16438.3046875,1.170143358237426,1.5701886223612571,0.1570188622361257,106.10491943359375,-10.892096519470215,92.66613729508197,-10.445928276029841,2636.123046875,88.87194061279297,63,17437.908203125,21.53309771706944,3.0,2.7098510033282674,72.09186908050033,5188,12.181958365458751,1.29919007823248,14229.35546875,2.742743922272552,5281,11.134254875970461,1.0450302208952629,2208.949462890625,0.418282420543576
SMA 34_one_break_candle_MAexit34,SMA,34,one_break,candle,ma_close,,34,32764,32763,5909,26854,1,18.03558892653298,341632.0,276917.0,231336.25,215073.03125,18722.90234375,14042.1767578125,16263.2265625,1.0756171922415307,0.4963900302933187,0.04963900302933187,57.81553649902344,-10.311945915222168,39.1498138432899,-8.008975618157445,2577.3076171875,120.869873046875,53,17263.1875,8.936361139089827,2.0,3.2181314581697626,26.18030577517816,16382,18.050299108777924,1.1363266643739658,14605.1484375,0.8915363470577463,16381,18.02087784628533,1.0153610990641175,1658.0782470703125,0.10121959874673783
SMA144_two_confirm_fixed_8_MAexit144,SMA,144,two_confirm,fixed_8,ma_close,,144,10920,10919,969,9950,1,8.874439051195164,106264.0,78096.0,131134.25,115032.5,10919.0,8189.25,16101.75,1.1399756590528765,1.4746542723692646,0.14746542723692646,109.66357421875,-7.848844051361084,135.32946336429308,-11.561055276381909,3500.75,131.5767364501953,79,17101.75,15.04524223830021,2.0,2.4236885435235163,113.17654682871411,5488,9.256559766763848,1.2203180672634049,12676.0,2.3097667638483963,5431,8.488307862272142,1.0595808513413627,3425.75,0.6307770208064813
SMA144_two_confirm_fixed_6_MAexit84,SMA,144,two_confirm,fixed_6,ma_close,,84,10917,10917,1565,9352,0,14.33544013923239,79104.0,54336.0,128188.328125,112381.3359375,14555.998046875,10917.0,15806.994140625,1.140654958900746,1.4479247174704588,0.14479247174704588,50.54568862915039,-5.810093879699707,81.9094748402556,-12.016823774326348,5490.3544921875,157.151611328125,51,16808.005859375,8.240359073005404,1.0,2.334596481491781,86.4147822766281,5488,14.759475218658894,1.1840228543324547,10324.6640625,1.8813163379190962,5429,13.906796831829066,1.0974187209023385,5482.330078125,1.0098231862451648
EMA 34_two_confirm_candle_MAexit34,EMA,34,two_confirm,candle,ma_close,,34,25592,25591,4560,21031,1,17.818764409362668,258160.0,210859.0,222668.875,207248.65625,18519.02734375,13889.2705078125,15420.208984375,1.0744044329599844,0.6025637522713063,0.060256375227130635,56.614036560058594,-10.026103973388672,48.83089364035088,-9.854436605487138,3481.3251953125,66.99043273925781,40,16419.41015625,8.741432534875543,3.0,2.7851169405486345,32.69635498556641,12856,18.178282514001246,1.1513768465190983,15645.29296875,1.216964294395613,12735,17.45583038869258,0.9978335333040772,-225.085205078125,-0.01767453514551433
EMA 55_two_confirm_candle_MAexit55,EMA,55,two_confirm,candle,ma_close,,55,20078,20077,3159,16918,1,15.734422473477114,214760.0,174739.0,185712.453125,170490.71875,14546.484375,10909.86328125,15221.7421875,1.0892818945606093,0.7581681619514867,0.07581681619514867,67.98353576660156,-10.328584671020508,58.788367560937004,-10.077474804941483,3207.4248046875,110.98666381835938,48,16221.0361328125,11.101409573143398,3.0,2.7344130427657345,39.72206348073244,9990,16.416416416416414,1.1901252751118203,15978.6171875,1.5994611799299299,10087,15.058986814712005,0.9912447557098869,-756.875244140625,-0.0750347223297933
