key,ma_type,entry_ma_value,entry_mode,stop_type,exit_type,rr_value,exit_ma_value,trades,resolved,wins,losses,unresolved,wr,gross_profit_pts,gross_loss_pts,gross_profit_dol,gross_loss_dol,commission_total,slippage_total,net_profit,pf_dol,expectancy_dol,expectancy_R,avg_win_pts,avg_loss_pts,avg_win_dol,avg_loss_dol,max_dd_dol,max_dd_pct,mls,final_balance,avg_hold,med_hold,sharpe,sortino,long_trades,long_wr,long_pf,long_net,long_ev,short_trades,short_wr,short_pf,short_net,short_ev
EMA200_two_confirm_candle_MAexit21,EMA,200,two_confirm,candle,ma_close,,21,10395,10395,2399,7996,0,23.078403078403078,100376.0,79624.0,85233.734375,77970.1875,7527.17822265625,5645.38330078125,7263.5390625,1.0931580018965583,0.6987531565656566,0.06987531565656566,41.84076690673828,-9.957979202270508,35.52885968111713,-9.751149012006003,2111.999267578125,54.94682693481445,36,8263.501953125,6.823953823953824,2.0,2.2200674480212506,22.026572355596453,5154,23.80675203725262,1.1518199344679698,5835.986328125,1.1323217555539387,5241,22.362144628887616,1.0361129782090077,1427.552001953125,0.27238160693629554
EMA200_two_confirm_candle_MAexit9,EMA,200,two_confirm,candle,ma_close,,9,10432,10432,2567,7865,0,24.606978527607364,93504.0,72551.0,80661.328125,72396.421875,7554.8662109375,5666.1494140625,8264.8994140625,1.1141618057349605,0.7922641309492428,0.07922641309492427,36.42539978027344,-9.224538803100586,31.422410644721463,-9.204885171646536,1656.1617431640625,58.69992446899414,39,9264.8505859375,4.708109662576687,2.0,2.793525662896989,22.262615637719396,5174,25.280247390800152,1.1893465214230843,6732.8701171875,1.301289160646985,5258,23.94446557626474,1.0415883571262847,1532.02880859375,0.2913710172296976
HMA144_two_confirm_candle_MAexit21,HMA,144,two_confirm,candle,ma_close,,21,19651,19651,5622,14029,0,28.609231082387666,167432.0,127857.0,143405.703125,129579.9765625,14692.91015625,11019.68359375,13825.7177734375,1.106696473708895,0.7035630641411379,0.07035630641411379,29.781572341918945,-9.113764762878418,25.50795146300249,-9.236579696521492,2027.5062255859375,59.94164276123047,21,14825.1494140625,3.4537682560683933,2.0,4.199426182488249,25.91496389929105,9809,29.401569986746868,1.1736397975156059,11149.4384765625,1.1366539378695586,9842,27.819548872180448,1.0409406487037922,2676.279052734375,0.27192430936134676
EMA200_two_confirm_fixed_8_MAexit9,EMA,200,two_confirm,fixed_8,ma_close,,9,10470,10470,2156,8314,0,20.592168099331424,79984.0,59216.0,96207.0,88569.5,10470.0,7852.5,7637.5,1.0862317163357589,0.7294651384909264,0.07294651384909265,37.098331451416016,-7.122444152832031,44.62291280148423,-10.653055087803704,2266.75,60.571258544921875,39,8637.5,4.036389684813754,2.0,2.207514337432035,23.884487440795304,5189,21.680477934091346,1.1864460761604745,8049.25,1.551214106764309,5281,19.522817648172694,0.990930117297208,-411.75,-0.07796818784321151
HMA144_two_confirm_candle_MAexit34,HMA,144,two_confirm,candle,ma_close,,34,19603,19603,5133,14470,0,26.184767637606488,179024.0,140825.0,152063.734375,140293.28125,14657.30859375,10992.9814453125,11770.4501953125,1.0838989082023485,0.6004412689543692,0.06004412689543692,34.877071380615234,-9.73220443725586,29.62472908143386,-9.695458275742917,1914.4482421875,60.76533126831055,32,12769.8876953125,4.443503545375708,3.0,3.3148207254888415,24.199911176098514,9784,26.839738348323795,1.1403498332657085,9766.357421875,0.9981967929144522,9819,25.53213158162746,1.0283434614437372,2004.093017578125,0.20410357649232355
HMA144_two_confirm_candle_MAexit55,HMA,144,two_confirm,candle,ma_close,,55,19582,19582,5077,14505,0,25.92687161679093,184904.0,149092.0,156638.859375,146272.671875,14647.44921875,10985.5869140625,10366.18359375,1.0708689283317299,0.5293730769967316,0.05293730769967316,36.4199333190918,-10.27866268157959,30.852641200512114,-10.08429313167873,2465.08984375,65.86053466796875,26,11365.599609375,5.443213154938208,2.0,2.668820211893727,23.754770854668354,9774,26.49887456517291,1.146636259486556,10649.5185546875,1.0895762793828012,9808,25.356851549755298,0.9961527988184392,-283.3349609375,-0.028888148545829936
EMA 34_two_confirm_candle_MAexit34,EMA,34,two_confirm,candle,ma_close,,34,25592,25591,4560,21031,1,17.818764409362668,258160.0,210859.0,222668.875,207248.65625,18519.02734375,13889.2705078125,15420.208984375,1.0744044329599844,0.6025637522713063,0.060256375227130635,56.614036560058594,-10.026103973388672,48.83089364035088,-9.854436605487138,3481.3251953125,66.99043273925781,40,16419.41015625,8.741432534875543,3.0,2.7851169405486345,32.69635498556641,12856,18.178282514001246,1.1513768465190983,15645.29296875,1.216964294395613,12735,17.45583038869258,0.9978335333040772,-225.085205078125,-0.01767453514551433
EMA200_two_confirm_fixed_10_MAexit9,EMA,200,two_confirm,fixed_10,ma_close,,9,10469,10469,2424,8045,0,23.154073932562806,89368.0,67650.0,85974.40625,78913.0,8375.201171875,6281.3994140625,7061.39453125,1.0894834342883934,0.6745051610707804,0.06745051610707804,36.86798858642578,-8.408949851989746,35.46798937706271,-9.808949658172779,1633.60546875,68.60456848144531,39,8061.810546875,4.502149202407106,2.0,2.4056556373359386,21.07460996086222,5188,24.11333847340015,1.1700404112315606,6560.7978515625,1.2646102258216076,5281,22.211702329104334,1.0124129781510083,500.5972595214844,0.0947921339749071
SMA200_two_confirm_candle_MAexit200,SMA,200,two_confirm,candle,ma_close,,200,9003,9002,927,8075,1,10.297711619640081,111672.0,89483.0,94823.90625,85418.453125,6563.443359375,4922.5830078125,9405.4443359375,1.1101103190341812,1.044817189062153,0.1044817189062153,120.46601867675781,-11.081485748291016,102.29116100323624,-10.578136609907121,3231.849609375,68.7289810180664,63,10405.169921875,23.146522994890024,3.0,1.70795586939835,46.77690437725323,4554,11.133069828722004,1.2993219032723191,12786.201171875,2.807685808492534,4448,9.442446043165468,0.9208277386544119,-3380.7568359375,-0.7600622382953013
SMA144_one_break_candle_MAexit144,SMA,144,one_break,candle,ma_close,,144,15896,15895,1932,13963,1,12.154765649575339,186400.0,149917.0,127513.640625,115746.625,9176.71484375,6882.53564453125,11767.009765625,1.1016618465117234,0.7402963048521548,0.07402963048521548,96.48033142089844,-10.736732482910156,66.00084918478261,-8.289524099405572,2784.9970703125,70.29521942138672,65,12766.41015625,18.27448883296634,2.0,2.207453258406819,29.11431127847198,7948,12.669854051333667,1.1653046074524052,9502.0849609375,1.1955315753570082,7947,11.639612432364414,1.0388732763011466,2264.925537109375,0.2850038425958695
