group,n_configs,avg_net,median_net,avg_pf,median_pf,avg_evR,pct_profitable
candle,378,-3731.080850268167,-2025.6559448242188,0.9975617993766823,0.9869430472528856,-0.0042969289866052795,45.23809523809524
fixed_10,378,-9711.432511909929,-6823.8056640625,0.97207014171557,0.9605650651443116,-0.02308383132217926,33.06878306878307
fixed_8,378,-16602.410052910054,-10544.375,0.9519098841081404,0.9391190408225989,-0.04085216511970963,24.867724867724867
fixed_6,378,-31255.86690137752,-15892.6611328125,0.9103106014276419,0.91122731680229,-0.08112660976959186,22.75132275132275
