====================================================================================================
 1. TOP 50 TRAIN (with OOS)
====================================================================================================
  #  key                                                        |    trd     WR%   edge   PF.p    PF$   EV.p       net$    DD%    Sh$
-------------------------------------------------------------------------------------------------------------------------------------
 22  EMA200 CONFI  5 N5 ALL_FA long TP40 FIXED_S 8.0 indepe     | T 15,905  23.20%  +4.24  1.445  1.291 +2.836  +40,480.6 119.29% 12.674
                                                                | O  6,250  21.84%  +2.88  1.337  1.194 +2.183  +10,806.2 175.50%  5.514  [OKAY]
 23  EMA 89 CONFI  2 N5 ALL_FA long TP40 SETUP_F     indepe     | T 20,416  28.65%  +4.92  1.308  1.291 +2.680  +46,738.3 119.43% 14.933
                                                                | O  8,274  27.56%  +3.80  1.237  1.221 +2.097  +14,600.7  98.63%  7.429  [OKAY]
 24  EMA144 CONFI  5 N5 ALL_FA long TP40 FIXED_S 8.0 indepe     | T 16,178  23.19%  +4.23  1.444  1.291 +2.832  +41,095.2 121.41% 12.759
                                                                | O  6,395  22.03%  +3.07  1.352  1.208 +2.276  +11,796.9 140.53%  5.932  [OKAY]
 25  HMA 34 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | T 20,993  28.70%  +4.92  1.310  1.290 +2.698  +47,915.7 137.36% 15.127
                                                                | O  8,582  28.32%  +4.54  1.294  1.267 +2.556  +18,102.9  78.63%  8.964  [OKAY]
 26  EMA 89 CONFI  5 N5 ALL_FA long TP32 SETUP_F     indepe     | T 16,639  33.52%  +5.42  1.322  1.290 +2.586  +35,419.4  97.50% 14.244
                                                                | O  6,636  31.78%  +3.71  1.214  1.194 +1.775   +9,677.7  92.42%  6.248  [OKAY]
 27  EMA 89 CONFI  5 N5 ALL_FA long TP40 FIXED_S 8.0 indepe     | T 16,639  23.17%  +4.22  1.443  1.289 +2.824  +42,091.4 132.07% 12.889
                                                                | O  6,636  21.88%  +2.92  1.340  1.197 +2.203  +11,635.5 134.08%  5.758  [OKAY]
 28  EMA 55 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | T 20,533  28.62%  +4.88  1.305  1.288 +2.656  +46,528.8 115.11% 14.835
                                                                | O  8,371  27.58%  +3.85  1.240  1.224 +2.118  +14,979.2  99.37%  7.568  [OKAY]
 29  HMA 21 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | T 22,863  28.68%  +4.87  1.310  1.287 +2.694  +51,559.9 102.93% 15.616
                                                                | O  9,315  28.03%  +4.30  1.275  1.252 +2.399  +18,635.3  96.82%  8.877  [OKAY]
 30  EMA 55 CONFI  5 N5 ALL_FA long TP40 FIXED_S 8.0 indepe     | T 17,350  23.13%  +4.17  1.439  1.286 +2.802  +43,423.8 118.63% 13.031
                                                                | O  7,013  21.94%  +2.99  1.345  1.202 +2.234  +12,567.1 122.53%  6.043  [OKAY]
 31  EMA200 CONFI  3 N5 ALL_FA comb TP40 SETUP_F     indepe     | T 33,160  28.47%  +4.84  1.300  1.286 +2.609  +74,885.5 151.69% 18.737
                                                                | O 13,627  26.39%  +2.54  1.163  1.145 +1.469  +16,032.5  57.05%  6.468  [OKAY]
 32  EMA 89 SIDE_    N5 ALL_FA long TP40 SETUP_F     indepe     | T 21,479  28.60%  +4.84  1.303  1.285 +2.640  +48,262.5 115.64% 15.063
                                                                | O  8,727  27.58%  +3.79  1.240  1.220 +2.116  +15,313.0 101.97%  7.595  [OKAY]
 33  EMA 34 CONFI  5 N5 ALL_FA comb TP40 SETUP_F     indepe     | T 35,211  28.36%  +4.78  1.295  1.283 +2.561  +78,860.9 135.88% 19.119
                                                                | O 14,635  26.68%  +2.80  1.179  1.160 +1.606  +18,948.1  51.55%  7.355  [OKAY]
 34  EMA 55 CONFI  5 N5 ALL_FA long TP32 SETUP_F     indepe     | T 17,350  33.36%  +5.29  1.309  1.283 +2.498  +36,055.8 104.56% 14.205
                                                                | O  7,013  31.95%  +3.85  1.220  1.201 +1.830  +10,605.2  92.74%  6.656  [OKAY]
 35  HMA144 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | T 16,838  28.47%  +4.79  1.299  1.282 +2.603  +37,534.9 167.71% 13.205
                                                                | O  6,921  28.32%  +4.71  1.285  1.278 +2.496  +15,223.2  64.82%  8.340  [OKAY]
 36  HMA200 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | T 19,274  28.56%  +4.79  1.304  1.282 +2.642  +42,847.9 140.89% 14.123
                                                                | O  7,944  27.51%  +3.88  1.238  1.226 +2.098  +14,378.3  97.60%  7.429  [OKAY]
 37  HMA200 CONFI  5 N5 ALL_FA comb TP40 SETUP_F     indepe     | T 31,823  28.28%  +4.75  1.291  1.281 +2.533  +70,866.6 184.54% 18.058
                                                                | O 13,219  26.70%  +2.87  1.180  1.164 +1.618  +17,559.4  59.87%  7.160  [OKAY]
 38  EMA144 CONFI  3 N5 ALL_FA comb TP40 SETUP_F     indepe     | T 34,512  28.40%  +4.74  1.295  1.280 +2.571  +76,346.4 102.70% 18.751
                                                                | O 14,176  26.42%  +2.53  1.164  1.144 +1.477  +16,554.5  53.41%  6.557  [OKAY]
 39  EMA200 CONFI  2 N5 ALL_FA comb TP40 SETUP_F     indepe     | T 34,894  28.41%  +4.73  1.295  1.279 +2.572  +76,960.5 126.88% 18.817
                                                                | O 14,352  26.37%  +2.48  1.161  1.141 +1.455  +16,422.6  54.85%  6.469  [OKAY]
 40  HMA 89 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | T 17,943  28.46%  +4.72  1.296  1.278 +2.581  +39,358.8 150.44% 13.450
                                                                | O  7,400  28.62%  +5.00  1.309  1.297 +2.685  +17,293.6  50.64%  9.134  [OKAY]
 41  EMA 89 CONFI  5 N5 ALL_FA shor TP40 SETUP_F     indepe     | T 14,970  28.17%  +4.67  1.287  1.277 +2.492  +32,854.3 133.29% 12.200
                                                                | O  6,378  25.37%  +1.35  1.098  1.075 +0.901   +3,938.5 113.79%  2.370  [FAIL]
 42  EMA 55 CONFI  5 N5 ALL_FA shor TP40 SETUP_F     indepe     | T 15,882  28.14%  +4.64  1.286  1.275 +2.484  +34,648.5 141.37% 12.495
                                                                | O  6,732  25.49%  +1.50  1.105  1.084 +0.958   +4,637.9 104.30%  2.708  [FAIL]
 43  HMA 21 CONFI  5 N4 ALL_FA long TP40 SETUP_F     indepe     | T 24,145  28.54%  +4.68  1.300  1.275 +2.613  +52,258.4 118.48% 15.457
                                                                | O  9,854  28.01%  +4.22  1.274  1.247 +2.391  +19,294.0  94.19%  8.961  [OKAY]
 44  EMA200 CONFI  3 N5 ALL_FA long TP32 SETUP_F     indepe     | T 17,656  33.31%  +5.12  1.304  1.272 +2.462  +35,384.2 100.55% 13.884
                                                                | O  6,981  31.61%  +3.56  1.203  1.186 +1.694   +9,777.5 116.57%  6.162  [OKAY]
 45  EMA 55 CONFI  2 N5 ALL_FA long TP40 SETUP_F     indepe     | T 21,896  28.43%  +4.64  1.292  1.272 +2.549  +47,050.9 115.84% 14.590
                                                                | O  8,917  27.66%  +3.87  1.246  1.225 +2.165  +16,008.4  97.44%  7.843  [OKAY]
 46  EMA144 CONFI  5 N5 ALL_FA shor TP40 SETUP_F     indepe     | T 14,205  28.05%  +4.59  1.277  1.272 +2.417  +30,679.4 135.93% 11.698
                                                                | O  6,082  25.45%  +1.44  1.105  1.080 +0.958   +4,016.9 115.01%  2.471  [FAIL]
 47  HMA200 CONFI  2 N5 ALL_FA long TP40 SETUP_F     indepe     | T 20,657  28.44%  +4.63  1.296  1.272 +2.577  +44,332.3 123.25% 14.160
                                                                | O  8,490  27.68%  +3.98  1.250  1.232 +2.197  +15,736.3  92.77%  7.870  [OKAY]
 48  EMA 21 CONFI  5 N5 ALL_FA comb TP40 SETUP_F     indepe     | T 37,737  28.25%  +4.61  1.287  1.271 +2.498  +81,110.3  93.68% 19.068
                                                                | O 15,671  26.80%  +2.88  1.188  1.164 +1.686  +20,790.1  60.45%  7.801  [OKAY]
 49  HMA144 CONFI  5 N5 ALL_FA comb TP40 SETUP_F     indepe     | T 32,837  28.17%  +4.59  1.283  1.271 +2.469  +70,566.0 171.76% 17.756
                                                                | O 13,714  27.13%  +3.26  1.206  1.187 +1.838  +20,649.7  49.87%  8.232  [OKAY]
 50  EMA144 CONFI  5 N4 ALL_FA long TP40 SETUP_F     indepe     | T 20,881  28.60%  +4.63  1.299  1.271 +2.613  +44,489.3 102.02% 14.205
                                                                | O  8,372  27.01%  +3.07  1.198  1.176 +1.773  +11,826.2  67.43%  6.067  [OKAY]

====================================================================================================
 2. TOP 30 OOS PASSES
====================================================================================================
  #  key                                                        |    trd     WR%   edge   PF.p    PF$   EV.p       net$    DD%    Sh$
-------------------------------------------------------------------------------------------------------------------------------------
  1  HMA 89 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  7,400  28.62%  +5.00  1.309  1.297 +2.685  +17,293.6  50.64%  9.134  [OKAY]
  2  HMA 55 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  7,898  28.54%  +4.92  1.307  1.292 +2.661  +18,165.9  68.92%  9.296  [OKAY]
  3  HMA144 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  6,921  28.32%  +4.71  1.285  1.278 +2.496  +15,223.2  64.82%  8.340  [OKAY]
  4  HMA 55 CONFI  5 N5 ALL_FA long TP40 FIXED_S 8.0 indepe     | O  7,898  22.90%  +3.95  1.421  1.270 +2.694  +18,700.2 119.83%  8.346  [OKAY]
  5  HMA 34 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  8,582  28.32%  +4.54  1.294  1.267 +2.556  +18,102.9  78.63%  8.964  [OKAY]
  6  HMA 89 CONFI  5 N5 ALL_FA long TP40 FIXED_S 8.0 indepe     | O  7,400  22.85%  +3.89  1.417  1.266 +2.669  +17,285.0  97.09%  7.976  [OKAY]
  7  HMA144 CONFI  5 N5 ALL_FA long TP40 FIXED_S 8.0 indepe     | O  6,921  22.79%  +3.83  1.411  1.261 +2.637  +15,893.6 101.06%  7.591  [OKAY]
  8  HMA 89 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | O  9,057  28.14%  +4.41  1.278  1.259 +2.434  +18,558.2  70.79%  8.953  [OKAY]
  9  HMA 55 CONFI  5 N4 ALL_FA long TP40 SETUP_F     indepe     | O  9,099  28.21%  +4.39  1.287  1.257 +2.495  +18,513.1  53.47%  8.934  [OKAY]
